Input_Frequency;Consuming_Frequency;DB_Insert_Frequency;Avg_Input_Frequency;Input_Frequency_Variance;Input_Frequency_Std_Dev;Avg_Consuming_Frequency;Consuming_Frequency_Variance;Consuming_Frequency_Std_Dev;Avg_DB_Insert_Frequency;DB_Insert_Frequency_Variance;DB_Insert_Frequency_Std_Dev
456.3333333333333 ; 458.73333333333335 ; 361.73333333333335 ; 466.6066666666667 ; 22.42351111111119 ; 4.735346989515255 ; 467.7 ; 120.522888888889 ; 10.978291710866905 ; 265.79333333333335 ; 9225.140844444444 ; 96.04759676558515
463.3333333333333 ; 469.53333333333336 ; 216.53333333333333 ;;;;;;;;;
464.8 ; 444.06666666666666 ; 193.8 ;;;;;;;;;
463.26666666666665 ; 481.53333333333336 ; 228 ;;;;;;;;;
467.3333333333333 ; 473.73333333333335 ; 196.73333333333332 ;;;;;;;;;
469.73333333333335 ; 466.2 ; 200.73333333333332 ;;;;;;;;;
473.93333333333334 ; 475.3333333333333 ; 224.06666666666666 ;;;;;;;;;
466.46666666666664 ; 473.93333333333334 ; 177.93333333333334 ;;;;;;;;;
470.06666666666666 ; 456.1333333333333 ; 461.93333333333334 ;;;;;;;;;
470.8 ; 477.8 ; 396.46666666666664 ;;;;;;;;;
