Input_Frequency;Consuming_Frequency;DB_Insert_Frequency;Timestamps;Avg_Input_Frequency;Input_Frequency_Variance;Input_Frequency_Std_Dev;Avg_Consuming_Frequency;Consuming_Frequency_Variance;Consuming_Frequency_Std_Dev;Avg_DB_Insert_Frequency;DB_Insert_Frequency_Variance;DB_Insert_Frequency_Std_Dev
0 ; 0 ; 0 ; 4:35:45 PM ; 210 ; 44700.64244444446 ; 211.42526444217697 ; 210 ; 45218.20844444444 ; 212.64573460204755 ; 210 ; 43594.08244444444 ; 208.79195972173937
0 ; 0 ; 0 ; 4:36:00 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:36:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:36:30 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:36:45 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:37:00 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:37:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:37:30 PM ;;;;;;;;;
0 ; 0 ; 0.8666666666666667 ; 4:37:45 PM ;;;;;;;;;
32.2 ; 29.266666666666666 ; 60.2 ; 4:38:00 PM ;;;;;;;;;
79.4 ; 76.86666666666666 ; 106.86666666666666 ; 4:38:15 PM ;;;;;;;;;
144.66666666666666 ; 142 ; 174.06666666666666 ; 4:38:30 PM ;;;;;;;;;
176.6 ; 176.73333333333332 ; 186.73333333333332 ; 4:38:45 PM ;;;;;;;;;
218.4 ; 215.66666666666666 ; 238.4 ; 4:39:00 PM ;;;;;;;;;
263.26666666666665 ; 259.93333333333334 ; 286.3333333333333 ; 4:39:15 PM ;;;;;;;;;
317.2 ; 314.6 ; 347 ; 4:39:30 PM ;;;;;;;;;
372.3333333333333 ; 368.4 ; 393.06666666666666 ; 4:39:45 PM ;;;;;;;;;
425.53333333333336 ; 414.73333333333335 ; 447.06666666666666 ; 4:40:00 PM ;;;;;;;;;
454.3333333333333 ; 457.8 ; 473.1333333333333 ; 4:40:15 PM ;;;;;;;;;
512 ; 500.93333333333334 ; 493.93333333333334 ; 4:40:30 PM ;;;;;;;;;
550.4 ; 500.93333333333334 ; 486.1333333333333 ; 4:40:45 PM ;;;;;;;;;
538.2666666666667 ; 448.1333333333333 ; 499.53333333333336 ; 4:41:00 PM ;;;;;;;;;
596.3333333333334 ; 595.5333333333333 ; 505.6666666666667 ; 4:41:15 PM ;;;;;;;;;
489.93333333333334 ; 421.2 ; 649.2666666666667 ; 4:41:30 PM ;;;;;;;;;
618.0666666666667 ; 591.1333333333333 ; 386.1333333333333 ; 4:41:45 PM ;;;;;;;;;
422.06666666666666 ; 463.93333333333334 ; 586.4 ; 4:42:00 PM ;;;;;;;;;
467 ; 649.6666666666666 ; 466.93333333333334 ; 4:42:15 PM ;;;;;;;;;
428.73333333333335 ; 473.1333333333333 ; 410.3333333333333 ; 4:42:30 PM ;;;;;;;;;
356 ; 356.6 ; 354.6 ; 4:42:45 PM ;;;;;;;;;
307.8 ; 309.46666666666664 ; 282.2 ; 4:43:00 PM ;;;;;;;;;
243 ; 243.26666666666668 ; 233.66666666666666 ; 4:43:15 PM ;;;;;;;;;
186.73333333333332 ; 188.53333333333333 ; 163.53333333333333 ; 4:43:30 PM ;;;;;;;;;
121.8 ; 121.86666666666666 ; 121.6 ; 4:43:45 PM ;;;;;;;;;
77.93333333333334 ; 79.66666666666667 ; 46.333333333333336 ; 4:44:00 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:44:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:44:30 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:44:45 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:45:00 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:45:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 4:45:30 PM ;;;;;;;;;
