
Input_Frequency;Consuming_Frequency;DB_Insert_Frequency;Timestamps;Avg_Input_Frequency;Input_Frequency_Variance;Input_Frequency_Std_Dev;Avg_Consuming_Frequency;Consuming_Frequency_Variance;Consuming_Frequency_Std_Dev;Avg_DB_Insert_Frequency;DB_Insert_Frequency_Variance;DB_Insert_Frequency_Std_Dev
0 ; 0 ; 0 ; 6:34:00 PM ; 210 ; 32390.191777777778 ; 179.97275287603338 ; 210 ; 33440.61044444445 ; 182.86774030551274 ; 210 ; 31026.153555555553 ; 176.14242406517388
0 ; 0 ; 0 ; 6:34:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:34:30 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:34:45 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:35:00 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:35:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:35:30 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:35:45 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:36:00 PM ;;;;;;;;;
79.06666666666666 ; 165.53333333333333 ; 230 ; 6:36:15 PM ;;;;;;;;;
345.26666666666665 ; 351.6666666666667 ; 349 ; 6:36:30 PM ;;;;;;;;;
346.1333333333333 ; 299.53333333333336 ; 301.26666666666665 ; 6:36:45 PM ;;;;;;;;;
373.6666666666667 ; 422.4 ; 368.53333333333336 ; 6:37:00 PM ;;;;;;;;;
361.6666666666667 ; 144.6 ; 353.1333333333333 ; 6:37:15 PM ;;;;;;;;;
376.3333333333333 ; 469.4 ; 387.73333333333335 ; 6:37:30 PM ;;;;;;;;;
370.6 ; 329 ; 362.8 ; 6:37:45 PM ;;;;;;;;;
394.1333333333333 ; 433.1333333333333 ; 376.93333333333334 ; 6:38:00 PM ;;;;;;;;;
363.6666666666667 ; 327.26666666666665 ; 346.4 ; 6:38:15 PM ;;;;;;;;;
391.8666666666667 ; 421.8 ; 373.06666666666666 ; 6:38:30 PM ;;;;;;;;;
352.2 ; 345.3333333333333 ; 345.3333333333333 ; 6:38:45 PM ;;;;;;;;;
378.6666666666667 ; 405.8666666666667 ; 400.53333333333336 ; 6:39:00 PM ;;;;;;;;;
223.6 ; 336.53333333333336 ; 337.53333333333336 ; 6:39:15 PM ;;;;;;;;;
399.53333333333336 ; 288.3333333333333 ; 369.8666666666667 ; 6:39:30 PM ;;;;;;;;;
319 ; 304.26666666666665 ; 336.8 ; 6:39:45 PM ;;;;;;;;;
433.53333333333336 ; 462.73333333333335 ; 395.06666666666666 ; 6:40:00 PM ;;;;;;;;;
356.93333333333334 ; 300.3333333333333 ; 295.53333333333336 ; 6:40:15 PM ;;;;;;;;;
383.1333333333333 ; 414.6666666666667 ; 405.93333333333334 ; 6:40:30 PM ;;;;;;;;;
419 ; 353.8 ; 359.93333333333334 ; 6:40:45 PM ;;;;;;;;;
374.53333333333336 ; 424.8666666666667 ; 404.06666666666666 ; 6:41:00 PM ;;;;;;;;;
371.8666666666667 ; 424.8666666666667 ; 390.26666666666665 ; 6:41:15 PM ;;;;;;;;;
373.26666666666665 ; 367.93333333333334 ; 364.2 ; 6:41:30 PM ;;;;;;;;;
367.46666666666664 ; 371.93333333333334 ; 365.06666666666666 ; 6:41:45 PM ;;;;;;;;;
232.8 ; 226.06666666666666 ; 181 ; 6:42:00 PM ;;;;;;;;;
12.066666666666666 ; 8.133333333333333 ; 0 ; 6:42:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:42:30 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:42:45 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:43:00 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:43:15 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:43:30 PM ;;;;;;;;;
0 ; 0 ; 0 ; 6:43:45 PM ;;;;;;;;;
